Game Title,Game Publisher,Game Platform,Game Genre,Game Release Date,Critic Score,User Score,Year
Yonder: The Cloud Catcher Chronicles,Prideful Sloth/Crescent Marketing & Distribution,Switch,Action Adventure/Open-World,2018-05-17,74,7.4,2018.0
FOX n FORESTS,Bonus Level Entertainment,Switch,Action/Platformer/2D,2018-05-17,66,7.2,2018.0
FOX n FORESTS,EuroVideo Medien,PlayStation 4,Action/Platformer/2D,2018-05-17,65,7.0,2018.0
House Flipper,PlayWay,PC,Simulation/Virtual/Virtual Life/Career,2018-05-17,67,7.5,2018.0
The Banner Saga 1,Stoic,Switch,Strategy/Turn-Based/Tactics,2018-05-17,80,8.0,2018.0
FAR: Lone Sails,Mixtvision,PC,Action/Action Adventure/Platformer/Linear/2D,2018-05-17,80,7.8,2018.0
FRAMED Collection,Loveshack Entertainment,Switch,Miscellaneous/Compilation,2018-05-17,79,7.3,2018.0
FOX n FORESTS,EuroVideo Medien,PC,Action/Platformer/2D,2018-05-17,69,7.4,2018.0
Hyrule Warriors: Definitive Edition,Nintendo,Switch,Action/Beat-'Em-Up/3D,2018-05-18,78,7.9,2018.0
PixelJunk Monsters 2,Spike Chunsoft/Limited Run Games,PlayStation 4,Strategy/Real-Time/Defense,2018-05-18,72,7.0,2018.0
State of Decay 2,Microsoft Game Studios,Xbox One,Action Adventure/Survival/Open-World,2018-05-18,66,5.6,2018.0
Little Nightmares: Complete Edition,Bandai Namco Games,Switch,Action Adventure/Linear,2018-05-18,79,8.0,2018.0
The Elder Scrolls Online: Summerset,Bethesda Softworks,PC,Role-Playing/Massively Multiplayer,2018-05-21,83,6.1,2018.0
Runner3,Nicalis/Choice Provisions,Switch,General/Action/Platformer/2D,2018-05-22,73,7.2,2018.0
Mega Man Legacy Collection,Capcom,Switch,Miscellaneous/Compilation,2018-05-22,83,8.2,2018.0
Runner3,Choice Provisions,PC,Action/Platformer/2D,2018-05-22,78,6.0,2018.0
One Piece: Grand Cruise,Bandai Namco Games,PlayStation 4,Action/General,2018-05-22,35,2.5,2018.0
Space Hulk: Deathwing,Focus Home Interactive/Maximum Games,PlayStation 4,Action/Shooter/First-Person/Arcade,2018-05-22,55,5.9,2018.0
I Hate Running Backwards,Devolver Digital,Xbox One,Action/Shooter/Shoot-'Em-Up/Vertical,2018-05-22,65,tbd,2018.0
Shio,Coconut Island Games,PlayStation 4,Action/Platformer/2D,2018-05-22,73,5.0,2018.0
Tennis World Tour,Bigben Interactive/Maximum Games,Xbox One,Sports/Individual/Tennis,2018-05-22,42,1.8,2018.0
EVERSPACE,ROCKFISH Games/Badland Games/ROCKFISH Games GmbH,PlayStation 4,Simulation/Action Adventure/Space/Open-World/Combat,2018-05-22,78,5.9,2018.0
Quarantine Circular,Mike Bithell,PC,Adventure/Text,2018-05-22,73,6.7,2018.0
Tennis World Tour,Bigben Interactive/Maximum Games,PlayStation 4,Sports/Individual/Tennis,2018-05-22,45,3.1,2018.0
Mega Man Legacy Collection 2,Capcom,Switch,Miscellaneous/Compilation,2018-05-22,77,8.2,2018.0
Ancestors Legacy,1C Entertainment,PC,Strategy/Real-Time/General/Command,2018-05-22,77,7.3,2018.0
Disco Dodgeball Remix,Zen Studios,PlayStation 4,Sports/Team/Futuristic,2018-05-22,69,tbd,2018.0
Disco Dodgeball Remix,Zen Studios,Switch,Sports/Team/Futuristic,2018-05-22,69,7.5,2018.0
Mega Man Legacy Collection + Mega Man Legacy Collection 2,Capcom,Switch,Miscellaneous/Compilation,2018-05-22,79,8.2,2018.0
State of Decay 2,Microsoft Game Studios,PC,Action Adventure/Survival/Open-World,2018-05-22,69,5.1,2018.0
Dark Souls Remastered,Namco Bandai Games/Bandai Namco Games,PC,Role-Playing/Action RPG,2018-05-23,84,7.8,2018.0
Unforeseen Incidents,Application Systems Heidelberg,PC,Adventure/General/Point-and-Click,2018-05-24,80,7.3,2018.0
Bloodstained: Curse of the Moon,Inti Creates,Switch,Action/Action Adventure/Platformer/Open-World/2D,2018-05-24,82,8.2,2018.0
N++,Metanet Software Inc.,Switch,Action/Platformer/2D,2018-05-24,80,7.7,2018.0
Dillon's Dead-Heat Breakers,Nintendo,3DS,Action/General,2018-05-24,69,7.7,2018.0
Bloodstained: Curse of the Moon,Inti Creates,PC,Action/Action Adventure/Platformer/Open-World/2D,2018-05-24,77,7.4,2018.0
Dark Souls Remastered,Namco Bandai Games,Xbox One,Role-Playing/Action RPG,2018-05-25,86,8.0,2018.0
Jumping Joe & Friends,QubicGames,Switch,Action/Platformer/2D,2018-05-25,54,5.5,2018.0
Dark Souls Remastered,Bandai Namco Games,PlayStation 4,Role-Playing/Action RPG,2018-05-25,84,8.1,2018.0
oOo: Ascension,Extra Mile Studios,Xbox One,Action/General/Arcade,2018-05-25,70,7.3,2018.0
Detroit: Become Human,SCEA/Sony Interactive Entertainment,PlayStation 4,Action Adventure/Open-World/Adventure/3D/Third-Person,2018-05-25,78,8.8,2018.0
Moonlighter,11 bit studios,PC,Role-Playing/Action RPG,2018-05-29,74,7.3,2018.0
Sega Genesis Classics,Sega,Xbox One,Miscellaneous/Compilation,2018-05-29,73,7.7,2018.0
Pokemon Quest,Nintendo,Switch,Role-Playing/Action RPG,2018-05-29,64,6.0,2018.0
Fallen Legion: Rise to Glory,NIS America,Switch,Role-Playing/Action RPG,2018-05-29,66,6.5,2018.0
Sega Genesis Classics,Sega,PlayStation 4,Miscellaneous/Compilation,2018-05-29,75,7.4,2018.0
Yoku's Island Express,Villa Gorilla,Xbox One,Action/Pinball,2018-05-29,83,7.8,2018.0
Street Fighter: 30th Anniversary Collection,Capcom,Xbox One,Miscellaneous/Compilation,2018-05-29,80,7.6,2018.0
Legend of Kay Anniversary,Nordic Games Publishing/THQ Nordic,Switch,Action Adventure/General/Linear,2018-05-29,54,5.3,2018.0
Agony,PlayWay/Maximum Games,PC,General/Action Adventure/Survival,2018-05-29,47,4.3,2018.0
Yoku's Island Express,Villa Gorilla,PC,Action/Pinball,2018-05-29,84,7.8,2018.0
Moonlighter,11 bit studios/Digital Sun,Xbox One,Role-Playing/Action RPG,2018-05-29,84,7.6,2018.0
Street Fighter: 30th Anniversary Collection,Capcom,PlayStation 4,Miscellaneous/Compilation,2018-05-29,83,7.4,2018.0
Agony,PlayWay/Maximum Games,Xbox One,Action Adventure/General/Survival,2018-05-29,34,4.4,2018.0
Yoku's Island Express,Villa Gorilla,PlayStation 4,Action/Pinball,2018-05-29,83,7.8,2018.0
Yoku's Island Express,Villa Gorilla,Switch,Action/Pinball,2018-05-29,82,8.2,2018.0
Ikaruga,Nicalis,Switch,Action/Shooter/Shoot-'Em-Up/Vertical,2018-05-29,88,7.8,2018.0
Street Fighter: 30th Anniversary Collection,Capcom,Switch,Miscellaneous/Compilation,2018-05-29,81,7.6,2018.0
Moonlighter,11 bit studios/Merge Games/Digital Sun,PlayStation 4,Role-Playing/Action RPG,2018-05-29,81,7.3,2018.0
Agony,PlayWay/Maximum Games,PlayStation 4,Action Adventure/General/Survival,2018-05-29,37,4.6,2018.0
FOX n FORESTS,EuroVideo Medien,Xbox One,Action/Platformer/2D,2018-05-30,71,7.0,2018.0
ICEY,X.D. Network Inc.,Switch,Action/Platformer/2D,2018-05-31,74,7.8,2018.0
Overload,Revival Productions/LLC,PC,Action/Shooter/First-Person/Arcade,2018-05-31,74,7.7,2018.0
Milanoir,Good Shepherd Entertainment,Switch,Role-Playing/General,2018-05-31,50,5.0,2018.0
Milanoir,Good Shepherd Entertainment,PlayStation 4,Role-Playing/General,2018-05-31,49,tbd,2018.0
Smoke and Sacrifice,Curve Digital,Switch,Action Adventure/General,2018-05-31,72,6.7,2018.0
Cultist Simulator,Weather Factory,PC,Strategy/Turn-Based/Card Battle,2018-05-31,71,7.0,2018.0
Just Shapes & Beats,Berzerk Studio,Switch,Action/Rhythm/Music,2018-05-31,83,8.3,2018.0
Smoke and Sacrifice,Curve Digital Games/Curve Digital,PC,Action Adventure/General,2018-05-31,68,3.9,2018.0
West of Loathing,Asymmetric Publications,Switch,Role-Playing/General,2018-05-31,85,7.9,2018.0
Downward Spiral: Horus Station,3rd Eye Studios,PC,Adventure/3D/First-Person,2018-05-31,65,tbd,2018.0
Earth Atlantis,Headup Games,Xbox One,Action/Shooter/Shoot-'Em-Up/Horizontal,2018-06-01,69,7.4,2018.0
Vampyr,Focus Home Interactive,PC,Role-Playing/General/Action RPG,2018-06-04,72,7.1,2018.0
The Elder Scrolls Online: Summerset,Bethesda Softworks,PlayStation 4,Role-Playing/Massively Multiplayer,2018-06-05,76,5.4,2018.0
Nobunaga's Ambition: Taishi,Koei Tecmo Games,PlayStation 4,Strategy/Turn-Based/General,2018-06-05,70,7.2,2018.0
ONRUSH,Codemasters,Xbox One,Racing/Arcade/Automobile,2018-06-05,77,6.3,2018.0
The Infectious Madness of Doctor Dekker,Wales Interactive,PlayStation 4,Adventure/General,2018-06-05,62,4.7,2018.0
Shape of the World,Hollow Tree Games,PlayStation 4,Action Adventure/Open-World,2018-06-05,72,tbd,2018.0
Vampyr,Focus Home Interactive,PlayStation 4,Role-Playing/General/Action RPG,2018-06-05,70,7.1,2018.0
Vampyr,Focus Home Interactive,Xbox One,Role-Playing/General/Action RPG,2018-06-05,70,7.2,2018.0
Aragami: Shadow Edition,Lince Works,Xbox One,Action Adventure/General,2018-06-05,81,6.5,2018.0
"Warhammer 40,000: Inquisitor - Martyr",Games Workshop,PC,Strategy/Real-Time/General,2018-06-05,67,6.6,2018.0
BlazBlue: Cross Tag Battle,Arc System Works,PlayStation 4,Action/Fighting/2D,2018-06-05,76,6.5,2018.0
ONRUSH,Codemasters,PlayStation 4,Racing/Arcade/Automobile,2018-06-05,75,6.0,2018.0
Far Cry 5: Hours of Darkness,Ubisoft,PC,Action/Shooter/First-Person/Arcade,2018-06-05,72,4.6,2018.0
Shaq Fu: A Legend Reborn,Saber Interactive,Xbox One,Action/Beat-'Em-Up/2D,2018-06-05,54,5.8,2018.0
BlazBlue: Cross Tag Battle,Arc System Works,Switch,Action/Fighting/2D,2018-06-05,79,7.6,2018.0
Shaq Fu: A Legend Reborn,Saber Interactive,PlayStation 4,Action/Beat-'Em-Up/2D,2018-06-05,36,5.5,2018.0
Shaq Fu: A Legend Reborn,Saber Interactive,Switch,Action/Beat-'Em-Up/2D,2018-06-05,49,6.3,2018.0
Happy Birthdays,NIS America,Switch,Action Adventure/Sandbox,2018-06-05,71,7.4,2018.0
Antigraviator,Iceberg Interactive,PC,Racing/Arcade/Futuristic,2018-06-06,65,4.9,2018.0
Shape of the World,Hollow Tree Games,Switch,Action Adventure/Open-World,2018-06-06,67,7.4,2018.0
Gray Dawn,Interactive Stone,PC,Adventure/3D/First-Person,2018-06-07,71,7.5,2018.0
Iro Hero,EastAsiaSoft/Artax Games,Switch,Action/Shooter/Shoot-'Em-Up/Vertical,2018-06-07,57,tbd,2018.0
MotoGP 18,Milestone S.r.l,PlayStation 4,Racing/Simulation/Automobile,2018-06-07,66,4.9,2018.0
The Banner Saga 2,Stoic,Switch,Strategy/Turn-Based/Tactics,2018-06-07,80,8.0,2018.0
Sushi Striker: The Way of Sushido,Nintendo,Switch,Puzzle/Matching,2018-06-08,76,7.7,2018.0
Legendary Eleven,Eclipse Games,Switch,Sports/Team/Soccer/Arcade,2018-06-08,54,6.0,2018.0
Unravel Two,Electronic Arts,PlayStation 4,Action/Platformer/2D,2018-06-09,77,7.7,2018.0
Unravel Two,Electronic Arts,PC,Action/Platformer/2D,2018-06-09,76,6.5,2018.0
Unravel Two,Electronic Arts,Xbox One,Action/Platformer/2D,2018-06-09,81,7.5,2018.0
Prey: Mooncrash,Bethesda Softworks,PC,Action/Role-Playing/Shooter/Action RPG/First-Person/Arcade,2018-06-10,75,6.8,2018.0
Prey: Mooncrash,Bethesda Softworks,Xbox One,Action/Role-Playing/Shooter/Action RPG/First-Person/Arcade,2018-06-10,82,7.8,2018.0
Prey: Mooncrash,Bethesda Softworks,PlayStation 4,Action/Role-Playing/Shooter/Action RPG/First-Person/Arcade,2018-06-11,83,7.6,2018.0
Hexologic,MythicOwl,Switch,Puzzle/General,2018-06-11,71,6.9,2018.0
Jurassic World Evolution,Frontier Developments,PC,Strategy/Management/Business / Tycoon,2018-06-11,69,7.3,2018.0
Jurassic World Evolution,Frontier Developments,Xbox One,Strategy/Management/Business / Tycoon,2018-06-12,76,6.9,2018.0
Paladins: Champions of the Realm,Hi-Rez Studios,Switch,Action/Shooter/First-Person/Tactical/Arcade,2018-06-12,74,7.2,2018.0
Super Bomberman R,Konami,Xbox One,Puzzle/Action/Arcade,2018-06-12,63,6.9,2018.0
Super Bomberman R,Konami,PlayStation 4,Puzzle/Action/Arcade,2018-06-12,67,6.0,2018.0
Jurassic World Evolution,Frontier Developments,PlayStation 4,Strategy/Management/Business / Tycoon,2018-06-12,68,7.2,2018.0
Fortnite,Epic Games,Switch,Action/Shooter/Third-Person/Tactical,2018-06-12,83,4.9,2018.0
Lust for Darkness,Movie Games,PC,Adventure/3D/First-Person,2018-06-12,50,5.5,2018.0
Hollow Knight,Team Cherry,Switch,Action/Action Adventure/General/Platformer//Metroidvania,2018-06-12,90,9.0,2018.0
Splatoon 2: Octo Expansion,Nintendo,Switch,Action/Shooter/Third-Person/Arcade,2018-06-13,82,8.5,2018.0
Bus Simulator 18,astragon,PC,Simulation/Vehicle/Civilian,2018-06-13,67,6.3,2018.0
Wreckfest,THQ Nordic,PC,Driving/General/General/Racing/Arcade/Automobile,2018-06-14,81,7.4,2018.0
LEGO The Incredibles,Warner Bros. Interactive Entertainment,PlayStation 4,Action Adventure/General/Open-World,2018-06-15,69,5.5,2018.0
LEGO The Incredibles,Warner Bros. Interactive Entertainment,Switch,Action Adventure/General/Open-World,2018-06-15,65,7.3,2018.0
LEGO The Incredibles,Warner Bros. Interactive Entertainment,Xbox One,Action Adventure/General/Open-World,2018-06-15,74,6.9,2018.0
Flashback,Microids/Maximum Games,Switch,Action/Platformer/2D,2018-06-17,77,7.8,2018.0
The Lost Child,NIS America,Switch,Role-Playing/Japanese-Style,2018-06-19,63,6.7,2018.0
Musynx,acttil llc.,Switch,Action/Rhythm/Music,2018-06-19,78,7.7,2018.0
The Lost Child,NIS America,PlayStation 4,Role-Playing/Japanese-Style,2018-06-19,62,5.1,2018.0
Minecraft,Mojang AB,Switch,Action Adventure/Sandbox,2018-06-21,86,7.4,2018.0
Lost in Harmony,Playdius,Switch,Action/Rhythm/Music,2018-06-21,63,6.2,2018.0
Pode,Henchman & Goon,Switch,Adventure/3D/Third-Person,2018-06-21,76,7.5,2018.0
Yet Another Zombie Defense HD,Awesome Games Studio,Xbox One,Strategy/Real-Time/Defense,2018-06-22,45,4.4,2018.0
Mario Tennis Aces,Nintendo,Switch,Sports/Individual/Tennis,2018-06-22,75,7.0,2018.0
New Gundam Breaker,Bandai Namco Games,PlayStation 4,Action/General,2018-06-22,43,3.2,2018.0
The Sims 4: Seasons,Electronic Arts,PC,Simulation/Virtual/Virtual Life,2018-06-22,81,6.2,2018.0
The Awesome Adventures of Captain Spirit,Square Enix,PC,Action Adventure/General,2018-06-25,79,7.3,2018.0
The Awesome Adventures of Captain Spirit,Square Enix,PlayStation 4,Action Adventure/General,2018-06-25,75,7.2,2018.0
Slime-san: Superslime Edition,Headup Games,PlayStation 4,Action Adventure/Linear,2018-06-26,81,6.4,2018.0
Lumines Remastered,Enhance Games,Xbox One,Puzzle/Matching,2018-06-26,81,6.8,2018.0
Lumines Remastered,Enhance Games,Switch,Puzzle/Matching,2018-06-26,83,8.1,2018.0
The Crew 2,Ubisoft,PlayStation 4,Racing/Simulation/Automobile,2018-06-26,64,5.5,2018.0
de Blob,THQ Nordic,Switch,Action/Platformer/3D,2018-06-26,72,7.3,2018.0
Rainbow Skies,SideQuest Studios,PlayStation 4,Role-Playing/General,2018-06-26,64,6.2,2018.0
NieR: Automata - Become as Gods Edition,Square Enix,Xbox One,Role-Playing/Action RPG,2018-06-26,90,9.1,2018.0
The Crew 2,Ubisoft,Xbox One,Racing/Simulation/Automobile,2018-06-26,69,5.4,2018.0
Lumines Remastered,Enhance Games,PlayStation 4,Puzzle/Matching,2018-06-26,80,5.8,2018.0
Mario + Rabbids: Kingdom Battle - Donkey Kong Adventure,Ubisoft,Switch,Strategy/Turn-Based/Tactics,2018-06-26,82,8.2,2018.0
Salary Man Escape VR,Sony Interactive Entertainment,PlayStation 4,Puzzle/Action,2018-06-26,63,6.6,2018.0
The Awesome Adventures of Captain Spirit,Square Enix,Xbox One,Action Adventure/General,2018-06-26,78,7.8,2018.0
Ys VIII: Lacrimosa of DANA,NIS America,Switch,Role-Playing/Action RPG,2018-06-26,82,8.6,2018.0
Youropa,frecle ApS,PC,Action Adventure/General,2018-06-27,80,7.6,2018.0
Tour de France 2018,Focus Home Interactive,PlayStation 4,Sports/Individual/Biking,2018-06-28,57,6.4,2018.0
INSIDE,PLAYDEAD,Switch,Action/Platformer/2D,2018-06-28,91,8.5,2018.0
Figment,Bedtime Digital Games,Switch,Action/Action Adventure/General,2018-06-28,75,7.5,2018.0
LIMBO,PLAYDEAD,Switch,Action/Platformer/2D,2018-06-28,83,8.1,2018.0
The Crew 2,Ubisoft,PC,Racing/Simulation/Automobile,2018-06-28,66,4.9,2018.0
Crash Bandicoot N. Sane Trilogy,Activision,PC,Miscellaneous/Compilation,2018-06-29,76,8.1,2018.0
Wolfenstein II: The New Colossus,Bethesda Softworks,Switch,Action/Shooter/First-Person/Arcade,2018-06-29,79,7.6,2018.0
Crash Bandicoot N. Sane Trilogy,Activision,Xbox One,Miscellaneous/Compilation,2018-06-29,79,7.5,2018.0
Crash Bandicoot N. Sane Trilogy,Activision,Switch,Miscellaneous/Compilation,2018-06-29,78,7.9,2018.0
Red Faction: Guerrilla Re-Mars-tered,THQ Nordic,PC,Action/Shooter/Third-Person/Arcade,2018-07-03,67,6.0,2018.0
Red Faction: Guerrilla Re-Mars-tered,THQ Nordic,PlayStation 4,Action/Shooter/Third-Person/Arcade,2018-07-03,70,5.2,2018.0
Runbow,Headup Games,PlayStation 4,Action/Platformer/2D,2018-07-03,71,5.1,2018.0
Red Faction: Guerrilla Re-Mars-tered,THQ Nordic,Xbox One,Action/Shooter/Third-Person/Arcade,2018-07-03,73,4.6,2018.0
Runbow,Headup Games,Switch,Action/Platformer/2D,2018-07-03,79,7.0,2018.0
Kingdom Come: Deliverance - From The Ashes,Deep Silver,PC,Role-Playing/Action RPG,2018-07-05,54,5.7,2018.0
"Warhammer 40,000: Inquisitor - Martyr",Bigben Interactive/Maximum Games,Xbox One,Strategy/Real-Time/General,2018-07-05,71,5.5,2018.0
Mushroom Wars 2,Zillion Whales,Switch,Strategy/Real-Time/Command,2018-07-05,72,7.4,2018.0
Pocket Rumble,Chucklefish/Cardboard Robot Games,Switch,Action/Fighting/2D,2018-07-05,75,7.5,2018.0
Pato Box,Bromio,Switch,Sports/Individual/Combat/Boxing / Martial Arts,2018-07-09,74,7.5,2018.0
Another World,DotEmu,Switch,Action/Platformer/2D,2018-07-09,75,7.9,2018.0
Bomber Crew,Curve Digital,Switch,Simulation/Strategy/Flight/Real-Time/General/Combat,2018-07-10,75,8.1,2018.0
The Lion's Song,Mi'pu'mi Games,Switch,Adventure/Point-and-Click,2018-07-10,81,7.9,2018.0
Shining Resonance Refrain,Sega,PlayStation 4,Role-Playing/Action RPG,2018-07-10,67,7.1,2018.0
Shining Resonance Refrain,Sega,Switch,Role-Playing/Action RPG,2018-07-10,70,7.9,2018.0
Animal Force,Oasis Games/Sony Interactive Entertainment,PlayStation 4,Action/Strategy/Real-Time/General/Defense,2018-07-10,57,5.0,2018.0
MXGP Pro,Milestone S.r.l,Xbox One,Racing/Arcade/Automobile,2018-07-10,72,6.9,2018.0
20XX,Fire Hose Games/Batterystaple Games/Batterystaple,Switch,Action/Platformer/2D,2018-07-10,77,7.6,2018.0
Neverout,Gamedust,Switch,Puzzle/General,2018-07-10,62,7.6,2018.0
The Spectrum Retreat,Ripstone,PlayStation 4,Adventure/3D/First-Person,2018-07-10,67,3.9,2018.0
MXGP Pro,Milestone S.r.l,PlayStation 4,Racing/Arcade/Automobile,2018-07-10,64,tbd,2018.0
Bomber Crew,Curve Digital Games/Curve Digital,Xbox One,Simulation/Strategy/Flight/Real-Time/General/Combat,2018-07-10,74,6.2,2018.0
Danger Zone 2,Three Fields Entertainment,Xbox One,Racing/Arcade/Automobile,2018-07-10,69,6.0,2018.0
Warhammer: Vermintide 2,Fatshark AB/Fatshark,Xbox One,Action/Shooter/First-Person/Arcade,2018-07-11,83,6.7,2018.0
Galak-Z: Variant S,GungHo,Switch,Action/Shooter/Shoot-'Em-Up/Vertical,2018-07-12,62,6.3,2018.0
Octopath Traveler,Square Enix/Nintendo,Switch,General/Role-Playing/Japanese-Style,2018-07-12,83,8.4,2018.0
Earthfall,Holospark,PC,Action/Shooter/First-Person/Tactical,2018-07-12,61,5.0,2018.0
Bomb Chicken,Nitrome,Switch,Action/Platformer/2D,2018-07-12,77,7.7,2018.0
"Warhammer 40,000: Gladius - Relics of War",Slitherine,PC,Strategy/Real-Time/General,2018-07-12,71,7.4,2018.0
Seeking Dawn,Multiverse Games/Multiverse,PC,Action Adventure/General,2018-07-12,68,7.0,2018.0
Earthfall,Holospark/Gearbox Publishing,Xbox One,Action/Shooter/First-Person/Tactical,2018-07-13,56,5.5,2018.0
The Spectrum Retreat,Ripstone,Xbox One,Adventure/3D/First-Person,2018-07-13,69,6.3,2018.0
Captain Toad: Treasure Tracker,Nintendo,3DS,Puzzle/Action/Platformer/3D,2018-07-13,79,7.0,2018.0
The Spectrum Retreat,Ripstone,PC,Adventure/3D/First-Person,2018-07-13,68,6.1,2018.0
Danger Zone 2,Three Fields Entertainment,PlayStation 4,Racing/Arcade/Automobile,2018-07-13,68,5.0,2018.0
Captain Toad: Treasure Tracker,Nintendo,Switch,Puzzle/Action/Platformer/3D,2018-07-13,82,7.9,2018.0
Earthfall,Holospark/Gearbox Publishing,PlayStation 4,Action/Shooter/First-Person/Tactical,2018-07-13,54,5.6,2018.0
Mothergunship,Sold Out/Grip Digital,PlayStation 4,Action/General/Shooter/First-Person/Arcade,2018-07-17,78,5.0,2018.0
Adventure Time: Pirates of the Enchiridion,Bandai Namco Games/Outright Games,PlayStation 4,Role-Playing/Action Adventure/Japanese-Style/Open-World,2018-07-17,62,6.3,2018.0
Mothergunship,Grip Digital,PC,Action/General/Shooter/First-Person/Arcade,2018-07-17,72,6.7,2018.0
Tempest 4000,Nighthawk Interactive/Atari SA,Xbox One,Action/Shooter/Shoot-'Em-Up/Top-Down,2018-07-17,75,6.8,2018.0
Sonic Mania Plus,Sega,Switch,Action/Platformer/2D,2018-07-17,91,8.2,2018.0
Mugsters,Team17,PlayStation 4,Action Adventure/General,2018-07-17,72,tbd,2018.0
Far Cry 5: Lost on Mars,Ubisoft,PC,Action/Shooter/First-Person/Arcade,2018-07-17,61,4.9,2018.0
Far Cry 5: Lost on Mars,Ubisoft,PlayStation 4,Action/Shooter/First-Person/Arcade,2018-07-17,57,5.5,2018.0
Tempest 4000,Nighthawk Interactive/Atari SA,PlayStation 4,Action/Shooter/Shoot-'Em-Up/Top-Down,2018-07-17,75,5.3,2018.0
Sonic Mania Plus,Sega,PlayStation 4,Action/Platformer/2D,2018-07-17,87,7.9,2018.0
Archangel: Hellfire,Skydance Interactive,PC,Simulation/Vehicle/Combat,2018-07-17,79,8.4,2018.0
Touhou Genso Wanderer Reloaded,NIS America,Switch,Role-Playing/Roguelike,2018-07-17,64,7.0,2018.0
Mothergunship,Sold Out/Grip Digital,Xbox One,Action/General/Shooter/First-Person/Arcade,2018-07-17,77,7.5,2018.0
Hand of Fate 2,Defiant Development,Switch,Miscellaneous/Board / Card Game,2018-07-17,81,8.2,2018.0
Adventure Time: Pirates of the Enchiridion,Bandai Namco Games/Outright Games,Switch,Role-Playing/Action Adventure/Japanese-Style/Open-World,2018-07-17,50,5.0,2018.0
The Mooseman,Sometimes You,Switch,Adventure/General,2018-07-18,70,tbd,2018.0
The Long Reach,Painted Black Games,Xbox One,Action Adventure/Survival,2018-07-18,69,tbd,2018.0
Pool Panic,Adult Swim,Switch,Action Adventure/General,2018-07-19,71,7.0,2018.0
Heroki,Picomy,Switch,Action/General,2018-07-20,68,7.1,2018.0
Mega Man X Legacy Collection,Capcom,Switch,Miscellaneous/Compilation,2018-07-24,84,8.2,2018.0
Semblance,Good Shepherd Entertainment/Nyamakop,Switch,Action/Platformer/2D,2018-07-24,74,7.2,2018.0
No Man's Sky,505 Games,Xbox One,Action Adventure/Open-World,2018-07-24,77,7.5,2018.0
Airheart: Tales of Broken Wings,Blindflug Studios,PlayStation 4,Action/Shooter/Shoot-'Em-Up/Top-Down,2018-07-24,63,5.6,2018.0
The Council - Episode 3: Ripples,Focus Home Interactive,Xbox One,Adventure/General,2018-07-24,77,7.0,2018.0
Mega Man X Legacy Collection 1 + 2,Capcom,Switch,Miscellaneous/Compilation,2018-07-24,80,8.2,2018.0
Semblance,Good Shepherd Entertainment/Nyamakop,PC,Action/Platformer/2D,2018-07-24,79,6.1,2018.0
Detached,Anshar Studios,PlayStation 4,Action/Simulation/Adventure/General/3D/Space/First-Person/Combat,2018-07-24,66,tbd,2018.0
Train Sim World,Maximum Games/Dovetail Games,PlayStation 4,Miscellaneous/Compilation,2018-07-24,56,6.1,2018.0
The Persistence VR,Sony Interactive Entertainment/Firesprite/Sony Interactive Entertainment LLC,PlayStation 4,Adventure/3D/First-Person,2018-07-24,78,8.2,2018.0
Mega Man X Legacy Collection 1 + 2,Capcom,PlayStation 4,Miscellaneous/Compilation,2018-07-24,80,8.5,2018.0
The Council - Episode 3: Ripples,Focus Home Interactive,PlayStation 4,Adventure/General,2018-07-24,68,6.9,2018.0
The Council - Episode 3: Ripples,Focus Home Interactive,PC,Adventure/General,2018-07-24,71,7.0,2018.0
Mega Man X Legacy Collection 2,Capcom,Switch,Miscellaneous/Compilation,2018-07-24,60,8.2,2018.0
Remothered: Tormented Fathers,Stormind Games,Xbox One,Action Adventure/Survival,2018-07-25,68,7.8,2018.0
Remothered: Tormented Fathers,Stormind Games,PlayStation 4,Action Adventure/Survival,2018-07-25,75,7.4,2018.0
Ys: Memories of Celceta,XSEED Games/Marvelous Inc.,PC,Role-Playing/Action RPG,2018-07-25,74,7.5,2018.0
Crossing Souls,Devolver Digital,Switch,Action Adventure/General,2018-07-26,67,6.4,2018.0
The Banner Saga 3,Versus Evil,Switch,Strategy/Turn-Based/Tactics,2018-07-26,83,8.0,2018.0
MARVEL Powers United VR,Oculus Studios,PC,Action/Shooter/Light Gun,2018-07-26,68,6.6,2018.0
Sleep Tight,We Are Fuzzy,Switch,Action/Shooter/Shoot-'Em-Up/Top-Down,2018-07-26,64,6.0,2018.0
The Banner Saga 3,Versus Evil,PlayStation 4,Strategy/Turn-Based/Tactics,2018-07-26,80,7.3,2018.0
2064: Read Only Memories INTEGRAL,MidBoss,Switch,Adventure/Point-and-Click,2018-07-26,74,6.5,2018.0
The Banner Saga 3,Versus Evil,Xbox One,Strategy/Turn-Based/Tactics,2018-07-26,88,7.5,2018.0
Candle: The Power of the Flame,Merge Games,Switch,Action/Platformer/2D,2018-07-26,72,7.6,2018.0
The Banner Saga 3,Versus Evil,PC,Strategy/Turn-Based/Tactics,2018-07-26,82,8.1,2018.0
Hello Neighbor,tinyBuild,Switch,Adventure/3D/First-Person,2018-07-27,39,3.9,2018.0
Go Vacation,Nintendo/Bandai Namco Games,Switch,Miscellaneous/Party / Minigame,2018-07-27,62,7.6,2018.0
La-Mulana 2,Playism/Active Gaming Media Inc./Active Gaming Media,PC,Action/Action Adventure/Platformer/Open-World/,2018-07-30,79,7.7,2018.0
